ticker,company,country,mandate,scorecard,score,verdict,confidence,risk_gates,warnings_count,performance_start,performance_end,local_return,usd_return,benchmark_local_return,benchmark_usd_return,local_excess_return,usd_excess_return,benchmark,snapshot_path
MU,Micron Technology,US,Technology Communications and Digital Infrastructure,memory_semiconductor,72.5604,Watch,95.0,,17,2026-03-20,2026-09-18,1.403364911053993,1.403364911053993,0.1758277936711381,0.1758277936711381,1.2275371173828549,1.2275371173828549,^GSPC,snapshots\MU_2026-03-20.json
000660.KS,SK Hynix,KR,Technology Communications and Digital Infrastructure,memory_semiconductor,79.888,Buy Candidate,95.0,,21,2026-03-20,2026-09-18,0.8447996481270676,0.9923134591798635,0.19252572952908875,0.2878824341554951,0.6522739185979789,0.7044310250243684,^KS11,snapshots\000660.KS_2026-03-20.json
005930.KS,Samsung Electronics,KR,Technology Communications and Digital Infrastructure,memory_semiconductor,73.7698,Watch,95.0,,13,2026-03-20,2026-09-18,0.31308253593152413,0.4180792000943667,0.19252572952908875,0.2878824341554951,0.12055680640243538,0.13019676593887164,^KS11,snapshots\005930.KS_2026-03-20.json
2408.TW,Nanya Technology,TW,Technology Communications and Digital Infrastructure,memory_semiconductor,74.0033,Watch,95.0,,20,2026-03-20,2026-09-18,1.2508006191690413,1.2473378489857039,0.40653828771153644,0.40437438265351866,0.8442623314575048,0.8429634663321852,^TWII,snapshots\2408.TW_2026-03-20.json
2344.TW,Winbond Electronics,TW,Technology Communications and Digital Infrastructure,memory_semiconductor,66.1899,Watch,95.0,,12,2026-03-20,2026-09-18,0.6403616943856327,0.6378380610096548,0.40653828771153644,0.40437438265351866,0.2338234066740963,0.23346367835613613,^TWII,snapshots\2344.TW_2026-03-20.json
2330.TW,Taiwan Semiconductor Manufacturing,TW,Technology Communications and Digital Infrastructure,semiconductor,77.9283,Buy Candidate,95.0,,16,2026-03-20,2026-09-18,0.3444692833142482,0.34240086903222644,0.40653828771153644,0.40437438265351866,-0.06206900439728824,-0.06197351362129222,^TWII,snapshots\2330.TW_2026-03-20.json
